state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
MS,3,88,10,14,84,3,3,99,"7,924",101,"4,799",101,148,99,3,101,7,99,0,99,0,99,546,101,36,99,36,101,137,99,122,101,11,99,4,99,710,101,0.6056284704694599,101,"4,799","7,924",0.031085906322201217,99,148,"4,761",0.018819938962360123,99,148,"7,864",0.05217391304347826,99,36,690,0.7690140845070422,101,546,710,2022/03/17,,0,99,0,88,1,88,0,88,0,88,0,88,1,88,1,88,0,101,1,99,0,86,2,86,0,86,2,86,0,86,1,86,1,86,0,99,1,47,486,128,423,327,0,79,1,99,7,99,0,45,0,45,25,0,45,99
MT,5,55,4,9,51,4,0,63,"2,718",64,"1,636",64,43,63,6,64,7,63,0,63,0,63,110,64,10,63,10,64,42,63,45,64,1,63,1,63,220,64,0.6019131714495953,64,"1,636","2,718",0.02651048088779285,63,43,"1,622",0.015991074748977315,63,43,"2,689",0.04672897196261682,63,10,214,0.5,64,110,220,2022/03/17,,0,64,0,64,0,64,0,64,1,64,4,64,0,64,1,64,0,64,2,63,0,63,0,63,2,63,1,63,0,63,0,63,2,63,0,63,1,56,626,376,487,21,0,0,1,63,5,63,0,51,0,51,5,0,51,63
NC,5,102,12,8,65,46,21,115,"21,521",119,"16,158",119,"1,013",115,29,119,88,115,0,115,7,115,"1,637",119,156,115,123,119,984,115,632,119,29,115,14,115,"2,228",119,0.7508015426792435,119,"16,158","21,521",0.06342349110944152,115,"1,013","15,972",0.04765937426487885,115,"1,013","21,255",0.07208872458410351,115,156,"2,164",0.7347396768402155,119,"1,637","2,228",2022/03/17,,0,119,2,115,5,115,3,115,4,115,4,115,5,115,6,115,0,119,0,115,6,111,13,111,11,111,9,111,14,111,20,111,15,111,0,115,16,105,134,0,140,0,0,0,2,115,2,115,0,104,0,104,16,1,104,115
ND,0,8,38,12,29,5,25,45,"2,006",46,"1,339",46,76,45,2,46,4,45,0,45,2,45,109,46,19,45,15,46,70,45,51,46,6,45,2,45,215,46,0.6674975074775673,46,"1,339","2,006",0.05731523378582202,45,76,"1,326",0.03838383838383838,45,76,"1,980",0.09004739336492891,45,19,211,0.5069767441860465,46,109,215,2022/03/17,,0,46,0,42,2,42,0,42,0,42,0,42,0,42,0,42,0,46,0,45,0,41,0,41,0,41,0,41,0,41,3,41,1,41,0,45,0,35,397,69,410,0,0,0,0,45,1,45,0,12,0,12,3,0,12,45
NE,14,68,13,18,75,2,5,94,"4,293",95,"2,888",95,131,94,5,95,15,94,1,94,4,94,326,95,19,94,18,95,122,94,114,95,9,94,5,94,486,95,0.6727230375029117,95,"2,888","4,293",0.04588441330998249,94,131,"2,855",0.031020601468150603,94,131,"4,223",0.04,94,19,475,0.6707818930041153,95,326,486,2022/03/17,,0,95,0,85,1,85,0,85,0,85,0,85,1,85,3,85,0,95,0,94,3,84,1,84,0,84,4,84,0,84,5,84,2,84,0,94,1,70,705,41,643,0,0,0,1,94,14,94,0,70,0,70,18,1,70,94
NH,2,8,19,4,6,19,1,29,"2,763",29,"2,152",29,31,29,6,29,3,29,0,29,0,29,158,29,5,29,5,29,31,29,29,29,0,29,0,29,226,29,0.7788635541078538,29,"2,152","2,763",0.014405204460966542,29,31,"2,152",0.011219688744118711,29,31,"2,763",0.022123893805309734,29,5,226,0.6991150442477876,29,158,226,2022/03/17,,0,28,0,28,0,28,0,28,2,28,1,28,0,28,3,29,0,29,0,29,0,28,0,28,0,28,0,28,0,28,2,28,1,28,0,29,0,7,"1,181",0,695,0,0,0,0,29,1,29,0,7,0,7,2,0,7,29
NJ,7,59,13,10,56,13,34,78,"20,504",79,"13,160",79,408,78,24,79,30,78,2,78,1,78,"1,199",79,71,78,68,79,399,78,352,79,9,78,1,78,"2,704",79,0.6418259851736247,79,"13,160","20,504",0.03100303951367781,78,408,"13,160",0.019898556379243076,78,408,"20,504",0.02625739644970414,78,71,"2,704",0.4434171597633136,79,"1,199","2,704",2022/03/17,,1,79,1,79,2,79,2,79,3,79,3,79,5,79,7,79,0,79,0,78,0,78,3,78,1,78,6,78,11,78,4,78,5,78,0,78,8,77,773,59,890,0,0,0,6,78,9,78,0,71,0,77,47,6,77,78
NM,1,12,38,19,31,1,3,49,"4,028",50,"2,944",50,137,49,12,51,29,50,1,49,6,49,333,50,36,49,34,50,130,49,110,50,7,49,6,49,418,50,0.730883813306852,50,"2,944","4,028",0.047701949860724235,49,137,"2,872",0.03494897959183674,49,137,"3,920",0.09090909090909091,49,36,396,0.7966507177033493,50,333,418,2022/03/17,,0,50,1,49,0,49,0,49,4,49,3,49,2,49,1,49,1,50,0,49,4,48,8,48,3,48,4,48,1,48,4,48,3,48,2,49,1,43,259,0,117,0,0,0,4,48,4,48,0,7,0,7,13,0,7,48
NV,1,11,39,2,13,36,54,49,"7,720",51,"5,850",51,188,49,18,51,37,49,2,49,8,49,612,51,38,49,32,51,180,49,146,51,8,49,3,49,810,51,0.7577720207253886,51,"5,850","7,720",0.032752613240418116,49,188,"5,740",0.02479229856257418,49,188,"7,583",0.04859335038363171,49,38,782,0.7555555555555555,51,612,810,2022/03/17,,0,51,1,50,2,50,1,50,4,50,3,50,4,50,3,50,0,51,0,49,2,48,5,48,1,48,5,48,10,48,8,48,6,48,0,49,0,13,46,0,10,0,0,0,2,49,8,49,0,12,0,12,16,0,12,49
NY,2,163,11,9,156,11,237,167,"44,381",176,"33,846",176,"1,237",167,100,176,104,167,10,167,17,167,"3,089",176,194,167,148,176,"1,173",167,929,176,64,167,42,167,"4,489",176,0.7626236452535995,176,"33,846","44,381",0.03693419324017676,167,"1,237","33,492",0.028264594996001372,167,"1,237","43,765",0.04431247144814984,167,194,"4,378",0.6881265315214969,176,"3,089","4,489",2022/03/17,,1,174,12,161,13,161,8,161,10,161,15,161,18,162,21,161,2,176,2,166,6,152,18,152,8,152,14,152,18,152,18,153,15,149,5,167,3,54,"9,254",334,"9,043",5,0,"1,090",11,167,16,167,0,37,0,37,55,4,37,167
